INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Prioritized Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 1/200][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 2/200][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 3/200][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 4/200][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 5/200][TIMESTEP 16]: 16.0
INFO:Logger:[TRAIN][ep 6/200][TIMESTEP 11]: 11.0
INFO:Logger:[TRAIN][ep 7/200][TIMESTEP 27]: 27.0
INFO:Logger:[TRAIN][ep 8/200][TIMESTEP 26]: 26.0
INFO:Logger:[TRAIN][ep 9/200][TIMESTEP 9]: 9.0
INFO:Logger:[TRAIN][ep 10/200][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 11/200][TIMESTEP 12]: 12.0
INFO:Logger:[TRAIN][ep 12/200][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 13/200][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 14/200][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 15/200][TIMESTEP 10]: 10.0
INFO:Logger:[TRAIN][ep 16/200][TIMESTEP 21]: 21.0
INFO:Logger:[TRAIN][ep 17/200][TIMESTEP 20]: 20.0
INFO:Logger:[TRAIN][ep 18/200][TIMESTEP 60]: 60.0
INFO:Logger:[TRAIN][ep 19/200][TIMESTEP 21]: 21.0
INFO:Logger:[TRAIN][ep 20/200][TIMESTEP 35]: 35.0
INFO:Logger:[TRAIN][ep 21/200][TIMESTEP 76]: 76.0
INFO:Logger:[TRAIN][ep 22/200][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 23/200][TIMESTEP 109]: 109.0
INFO:Logger:[TRAIN][ep 24/200][TIMESTEP 103]: 103.0
INFO:Logger:[TRAIN][ep 25/200][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 26/200][TIMESTEP 142]: 142.0
INFO:Logger:[TRAIN][ep 27/200][TIMESTEP 134]: 134.0
INFO:Logger:[TRAIN][ep 28/200][TIMESTEP 125]: 125.0
INFO:Logger:[TRAIN][ep 29/200][TIMESTEP 124]: 124.0
INFO:Logger:[TRAIN][ep 30/200][TIMESTEP 160]: 160.0
INFO:Logger:[TRAIN][ep 31/200][TIMESTEP 157]: 157.0
INFO:Logger:[TRAIN][ep 32/200][TIMESTEP 131]: 131.0
INFO:Logger:[TRAIN][ep 33/200][TIMESTEP 121]: 121.0
INFO:Logger:[TRAIN][ep 34/200][TIMESTEP 157]: 157.0
INFO:Logger:[TRAIN][ep 35/200][TIMESTEP 178]: 178.0
INFO:Logger:[TRAIN][ep 36/200][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 37/200][TIMESTEP 148]: 148.0
INFO:Logger:[TRAIN][ep 38/200][TIMESTEP 195]: 195.0
INFO:Logger:[TRAIN][ep 39/200][TIMESTEP 151]: 151.0
INFO:Logger:[TRAIN][ep 40/200][TIMESTEP 129]: 129.0
INFO:Logger:[TRAIN][ep 41/200][TIMESTEP 169]: 169.0
INFO:Logger:[TRAIN][ep 42/200][TIMESTEP 136]: 136.0
INFO:Logger:[TRAIN][ep 43/200][TIMESTEP 157]: 157.0
INFO:Logger:[TRAIN][ep 44/200][TIMESTEP 148]: 148.0
INFO:Logger:[TRAIN][ep 45/200][TIMESTEP 128]: 128.0
INFO:Logger:[TRAIN][ep 46/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 47/200][TIMESTEP 139]: 139.0
INFO:Logger:[TRAIN][ep 48/200][TIMESTEP 154]: 154.0
INFO:Logger:[TRAIN][ep 49/200][TIMESTEP 193]: 193.0
INFO:Logger:[TRAIN][ep 50/200][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 51/200][TIMESTEP 152]: 152.0
INFO:Logger:[TRAIN][ep 52/200][TIMESTEP 178]: 178.0
INFO:Logger:[TRAIN][ep 53/200][TIMESTEP 179]: 179.0
INFO:Logger:[TRAIN][ep 54/200][TIMESTEP 150]: 150.0
INFO:Logger:[TRAIN][ep 55/200][TIMESTEP 134]: 134.0
INFO:Logger:[TRAIN][ep 56/200][TIMESTEP 137]: 137.0
INFO:Logger:[TRAIN][ep 57/200][TIMESTEP 167]: 167.0
INFO:Logger:[TRAIN][ep 58/200][TIMESTEP 160]: 160.0
INFO:Logger:[TRAIN][ep 59/200][TIMESTEP 166]: 166.0
INFO:Logger:[TRAIN][ep 60/200][TIMESTEP 132]: 132.0
INFO:Logger:[TRAIN][ep 61/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 62/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 63/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 64/200][TIMESTEP 134]: 134.0
INFO:Logger:[TRAIN][ep 65/200][TIMESTEP 138]: 138.0
INFO:Logger:[TRAIN][ep 66/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 67/200][TIMESTEP 174]: 174.0
INFO:Logger:[TRAIN][ep 68/200][TIMESTEP 177]: 177.0
INFO:Logger:[TRAIN][ep 69/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 70/200][TIMESTEP 178]: 178.0
INFO:Logger:[TRAIN][ep 71/200][TIMESTEP 135]: 135.0
INFO:Logger:[TRAIN][ep 72/200][TIMESTEP 139]: 139.0
INFO:Logger:[TRAIN][ep 73/200][TIMESTEP 112]: 112.0
INFO:Logger:[TRAIN][ep 74/200][TIMESTEP 146]: 146.0
INFO:Logger:[TRAIN][ep 75/200][TIMESTEP 202]: 202.0
INFO:Logger:[TRAIN][ep 76/200][TIMESTEP 147]: 147.0
INFO:Logger:[TRAIN][ep 77/200][TIMESTEP 147]: 147.0
INFO:Logger:[TRAIN][ep 78/200][TIMESTEP 136]: 136.0
INFO:Logger:[TRAIN][ep 79/200][TIMESTEP 150]: 150.0
INFO:Logger:[TRAIN][ep 80/200][TIMESTEP 137]: 137.0
INFO:Logger:[TRAIN][ep 81/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 82/200][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 83/200][TIMESTEP 142]: 142.0
INFO:Logger:[TRAIN][ep 84/200][TIMESTEP 170]: 170.0
INFO:Logger:[TRAIN][ep 85/200][TIMESTEP 156]: 156.0
INFO:Logger:[TRAIN][ep 86/200][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 87/200][TIMESTEP 149]: 149.0
INFO:Logger:[TRAIN][ep 88/200][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 89/200][TIMESTEP 177]: 177.0
INFO:Logger:[TRAIN][ep 90/200][TIMESTEP 162]: 162.0
