INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Prioritized Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 78/1000][TIMESTEP 265]: 265.0
INFO:Logger:[TRAIN][ep 79/1000][TIMESTEP 304]: 304.0
INFO:Logger:[TRAIN][ep 80/1000][TIMESTEP 307]: 307.0
INFO:Logger:[TRAIN][ep 81/1000][TIMESTEP 264]: 264.0
INFO:Logger:[TRAIN][ep 82/1000][TIMESTEP 259]: 259.0
INFO:Logger:[TRAIN][ep 83/1000][TIMESTEP 300]: 300.0
INFO:Logger:[TRAIN][ep 84/1000][TIMESTEP 279]: 279.0
INFO:Logger:[TRAIN][ep 85/1000][TIMESTEP 298]: 298.0
INFO:Logger:[TRAIN][ep 86/1000][TIMESTEP 241]: 241.0
INFO:Logger:[TRAIN][ep 87/1000][TIMESTEP 269]: 269.0
INFO:Logger:[TRAIN][ep 88/1000][TIMESTEP 258]: 258.0
INFO:Logger:[TRAIN][ep 89/1000][TIMESTEP 214]: 214.0
INFO:Logger:[TRAIN][ep 90/1000][TIMESTEP 252]: 252.0
INFO:Logger:[TRAIN][ep 91/1000][TIMESTEP 218]: 218.0
INFO:Logger:[TRAIN][ep 92/1000][TIMESTEP 282]: 282.0
INFO:Logger:[TRAIN][ep 93/1000][TIMESTEP 269]: 269.0
INFO:Logger:[TRAIN][ep 94/1000][TIMESTEP 255]: 255.0
INFO:Logger:[TRAIN][ep 95/1000][TIMESTEP 221]: 221.0
INFO:Logger:[TRAIN][ep 96/1000][TIMESTEP 268]: 268.0
INFO:Logger:[TRAIN][ep 97/1000][TIMESTEP 286]: 286.0
INFO:Logger:[TRAIN][ep 98/1000][TIMESTEP 104]: 104.0
