INFO:Logger:Environment: CartPole-v1
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 81/200][TIMESTEP 114]: 114.0
INFO:Logger:[TRAIN][ep 82/200][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 83/200][TIMESTEP 114]: 114.0
INFO:Logger:[TRAIN][ep 84/200][TIMESTEP 107]: 107.0
INFO:Logger:[TRAIN][ep 85/200][TIMESTEP 219]: 219.0
INFO:Logger:[TRAIN][ep 86/200][TIMESTEP 232]: 232.0
INFO:Logger:[TRAIN][ep 87/200][TIMESTEP 178]: 178.0
INFO:Logger:[TRAIN][ep 88/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 89/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 90/200][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 91/200][TIMESTEP 159]: 159.0
INFO:Logger:[TRAIN][ep 92/200][TIMESTEP 178]: 178.0
INFO:Logger:[TRAIN][ep 93/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 94/200][TIMESTEP 136]: 136.0
INFO:Logger:[TRAIN][ep 95/200][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 96/200][TIMESTEP 236]: 236.0
INFO:Logger:[TRAIN][ep 97/200][TIMESTEP 143]: 143.0
INFO:Logger:[TRAIN][ep 98/200][TIMESTEP 125]: 125.0
INFO:Logger:[TRAIN][ep 99/200][TIMESTEP 279]: 279.0
INFO:Logger:[TRAIN][ep 100/200][TIMESTEP 138]: 138.0
INFO:Logger:[TRAIN][ep 101/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 102/200][TIMESTEP 152]: 152.0
INFO:Logger:[TRAIN][ep 103/200][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 104/200][TIMESTEP 151]: 151.0
INFO:Logger:[TRAIN][ep 105/200][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 106/200][TIMESTEP 101]: 101.0
INFO:Logger:[TRAIN][ep 107/200][TIMESTEP 69]: 69.0
INFO:Logger:[TRAIN][ep 108/200][TIMESTEP 134]: 134.0
INFO:Logger:[TRAIN][ep 109/200][TIMESTEP 369]: 369.0
INFO:Logger:[TRAIN][ep 110/200][TIMESTEP 227]: 227.0
INFO:Logger:[TRAIN][ep 111/200][TIMESTEP 335]: 335.0
INFO:Logger:[TRAIN][ep 112/200][TIMESTEP 320]: 320.0
INFO:Logger:[TRAIN][ep 113/200][TIMESTEP 314]: 314.0
INFO:Logger:[TRAIN][ep 114/200][TIMESTEP 354]: 354.0
INFO:Logger:[TRAIN][ep 115/200][TIMESTEP 232]: 232.0
INFO:Logger:[TRAIN][ep 116/200][TIMESTEP 332]: 332.0
INFO:Logger:[TRAIN][ep 117/200][TIMESTEP 350]: 350.0
INFO:Logger:[TRAIN][ep 118/200][TIMESTEP 289]: 289.0
INFO:Logger:[TRAIN][ep 119/200][TIMESTEP 198]: 198.0
INFO:Logger:[TRAIN][ep 120/200][TIMESTEP 438]: 438.0
INFO:Logger:[TRAIN][ep 121/200][TIMESTEP 361]: 361.0
INFO:Logger:[TRAIN][ep 122/200][TIMESTEP 312]: 312.0
INFO:Logger:[TRAIN][ep 123/200][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 124/200][TIMESTEP 359]: 359.0
INFO:Logger:[TRAIN][ep 125/200][TIMESTEP 197]: 197.0
INFO:Logger:[TRAIN][ep 126/200][TIMESTEP 402]: 402.0
INFO:Logger:[TRAIN][ep 127/200][TIMESTEP 250]: 250.0
INFO:Logger:[TRAIN][ep 128/200][TIMESTEP 280]: 280.0
INFO:Logger:[TRAIN][ep 129/200][TIMESTEP 222]: 222.0
INFO:Logger:[TRAIN][ep 130/200][TIMESTEP 215]: 215.0
INFO:Logger:[TRAIN][ep 131/200][TIMESTEP 236]: 236.0
INFO:Logger:[TRAIN][ep 132/200][TIMESTEP 210]: 210.0
INFO:Logger:[TRAIN][ep 133/200][TIMESTEP 210]: 210.0
INFO:Logger:[TRAIN][ep 134/200][TIMESTEP 183]: 183.0
INFO:Logger:[TRAIN][ep 135/200][TIMESTEP 188]: 188.0
INFO:Logger:[TRAIN][ep 136/200][TIMESTEP 180]: 180.0
INFO:Logger:[TRAIN][ep 137/200][TIMESTEP 151]: 151.0
INFO:Logger:[TRAIN][ep 138/200][TIMESTEP 160]: 160.0
INFO:Logger:[TRAIN][ep 139/200][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 140/200][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 141/200][TIMESTEP 197]: 197.0
INFO:Logger:[TRAIN][ep 142/200][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 143/200][TIMESTEP 140]: 140.0
INFO:Logger:[TRAIN][ep 144/200][TIMESTEP 140]: 140.0
INFO:Logger:[TRAIN][ep 145/200][TIMESTEP 138]: 138.0
INFO:Logger:[TRAIN][ep 146/200][TIMESTEP 138]: 138.0
INFO:Logger:[TRAIN][ep 147/200][TIMESTEP 135]: 135.0
INFO:Logger:[TRAIN][ep 148/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 149/200][TIMESTEP 39]: 39.0
INFO:Logger:[TRAIN][ep 150/200][TIMESTEP 53]: 53.0
INFO:Logger:[TRAIN][ep 151/200][TIMESTEP 133]: 133.0
INFO:Logger:[TRAIN][ep 152/200][TIMESTEP 129]: 129.0
INFO:Logger:[TRAIN][ep 153/200][TIMESTEP 154]: 154.0
INFO:Logger:[TRAIN][ep 154/200][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 155/200][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 156/200][TIMESTEP 174]: 174.0
INFO:Logger:[TRAIN][ep 157/200][TIMESTEP 183]: 183.0
INFO:Logger:[TRAIN][ep 158/200][TIMESTEP 222]: 222.0
INFO:Logger:[TRAIN][ep 159/200][TIMESTEP 232]: 232.0
INFO:Logger:[TRAIN][ep 160/200][TIMESTEP 215]: 215.0
INFO:Logger:[TRAIN][ep 161/200][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 162/200][TIMESTEP 179]: 179.0
INFO:Logger:[TRAIN][ep 163/200][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 164/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 165/200][TIMESTEP 114]: 114.0
INFO:Logger:[TRAIN][ep 166/200][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 167/200][TIMESTEP 221]: 221.0
INFO:Logger:[TRAIN][ep 168/200][TIMESTEP 161]: 161.0
INFO:Logger:[TRAIN][ep 169/200][TIMESTEP 124]: 124.0
INFO:Logger:[TRAIN][ep 170/200][TIMESTEP 122]: 122.0
INFO:Logger:[TRAIN][ep 171/200][TIMESTEP 112]: 112.0
INFO:Logger:[TRAIN][ep 172/200][TIMESTEP 119]: 119.0
INFO:Logger:[TRAIN][ep 173/200][TIMESTEP 131]: 131.0
INFO:Logger:[TRAIN][ep 174/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 175/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 176/200][TIMESTEP 167]: 167.0
INFO:Logger:[TRAIN][ep 177/200][TIMESTEP 161]: 161.0
INFO:Logger:[TRAIN][ep 178/200][TIMESTEP 123]: 123.0
INFO:Logger:[TRAIN][ep 179/200][TIMESTEP 118]: 118.0
INFO:Logger:[TRAIN][ep 180/200][TIMESTEP 109]: 109.0
INFO:Logger:[TRAIN][ep 181/200][TIMESTEP 23]: 23.0
INFO:Logger:[TRAIN][ep 182/200][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 183/200][TIMESTEP 9]: 9.0
INFO:Logger:[TRAIN][ep 184/200][TIMESTEP 9]: 9.0
INFO:Logger:[TRAIN][ep 185/200][TIMESTEP 8]: 8.0
INFO:Logger:[TRAIN][ep 186/200][TIMESTEP 9]: 9.0
INFO:Logger:[TRAIN][ep 187/200][TIMESTEP 9]: 9.0
INFO:Logger:[TRAIN][ep 188/200][TIMESTEP 20]: 20.0
INFO:Logger:[TRAIN][ep 189/200][TIMESTEP 10]: 10.0
INFO:Logger:[TRAIN][ep 190/200][TIMESTEP 29]: 29.0
INFO:Logger:[TRAIN][ep 191/200][TIMESTEP 126]: 126.0
INFO:Logger:[TRAIN][ep 192/200][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 193/200][TIMESTEP 268]: 268.0
INFO:Logger:[TRAIN][ep 194/200][TIMESTEP 405]: 405.0
INFO:Logger:[TRAIN][ep 195/200][TIMESTEP 349]: 349.0
INFO:Logger:[TRAIN][ep 196/200][TIMESTEP 303]: 303.0
INFO:Logger:[TRAIN][ep 197/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 198/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 199/200][TIMESTEP 181]: 181.0
INFO:Logger:[TRAIN][ep 200/200][TIMESTEP 168]: 168.0
INFO:Logger:[VALIDATION][ep 1/10][TIMESTEP 216]: 216.0
INFO:Logger:[VALIDATION][ep 2/10][TIMESTEP 215]: 215.0
INFO:Logger:[VALIDATION][ep 3/10][TIMESTEP 237]: 237.0
INFO:Logger:[VALIDATION][ep 4/10][TIMESTEP 246]: 246.0
INFO:Logger:[VALIDATION][ep 5/10][TIMESTEP 291]: 291.0
INFO:Logger:[VALIDATION][ep 6/10][TIMESTEP 215]: 215.0
INFO:Logger:[VALIDATION][ep 7/10][TIMESTEP 300]: 300.0
INFO:Logger:[VALIDATION][ep 8/10][TIMESTEP 190]: 190.0
INFO:Logger:[VALIDATION][ep 9/10][TIMESTEP 185]: 185.0
INFO:Logger:[VALIDATION][ep 10/10][TIMESTEP 205]: 205.0
INFO:Logger:Validation average rewards over 10 eps: 230.0
