INFO:Logger:Environment: CartPole-v1
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 1/100][TIMESTEP 8]: 8.0
INFO:Logger:[TRAIN][ep 2/100][TIMESTEP 16]: 16.0
INFO:Logger:[TRAIN][ep 3/100][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 4/100][TIMESTEP 24]: 24.0
INFO:Logger:[TRAIN][ep 5/100][TIMESTEP 20]: 20.0
INFO:Logger:[TRAIN][ep 6/100][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 7/100][TIMESTEP 20]: 20.0
INFO:Logger:[TRAIN][ep 8/100][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 9/100][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 10/100][TIMESTEP 27]: 27.0
INFO:Logger:[TRAIN][ep 11/100][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 12/100][TIMESTEP 48]: 48.0
INFO:Logger:[TRAIN][ep 13/100][TIMESTEP 61]: 61.0
INFO:Logger:[TRAIN][ep 14/100][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 15/100][TIMESTEP 47]: 47.0
INFO:Logger:[TRAIN][ep 16/100][TIMESTEP 34]: 34.0
INFO:Logger:[TRAIN][ep 17/100][TIMESTEP 111]: 111.0
INFO:Logger:[TRAIN][ep 18/100][TIMESTEP 116]: 116.0
INFO:Logger:[TRAIN][ep 19/100][TIMESTEP 338]: 338.0
INFO:Logger:[TRAIN][ep 20/100][TIMESTEP 198]: 198.0
INFO:Logger:[TRAIN][ep 21/100][TIMESTEP 331]: 331.0
INFO:Logger:[TRAIN][ep 22/100][TIMESTEP 259]: 259.0
INFO:Logger:[TRAIN][ep 23/100][TIMESTEP 483]: 483.0
INFO:Logger:[TRAIN][ep 24/100][TIMESTEP 296]: 296.0
INFO:Logger:[TRAIN][ep 25/100][TIMESTEP 210]: 210.0
INFO:Logger:[TRAIN][ep 26/100][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 27/100][TIMESTEP 169]: 169.0
INFO:Logger:[TRAIN][ep 28/100][TIMESTEP 112]: 112.0
INFO:Logger:[TRAIN][ep 29/100][TIMESTEP 307]: 307.0
INFO:Logger:[TRAIN][ep 30/100][TIMESTEP 78]: 78.0
INFO:Logger:[TRAIN][ep 31/100][TIMESTEP 146]: 146.0
INFO:Logger:[TRAIN][ep 32/100][TIMESTEP 178]: 178.0
INFO:Logger:[TRAIN][ep 33/100][TIMESTEP 126]: 126.0
INFO:Logger:[TRAIN][ep 34/100][TIMESTEP 256]: 256.0
INFO:Logger:[TRAIN][ep 35/100][TIMESTEP 313]: 313.0
INFO:Logger:[TRAIN][ep 36/100][TIMESTEP 127]: 127.0
INFO:Logger:[TRAIN][ep 37/100][TIMESTEP 284]: 284.0
INFO:Logger:[TRAIN][ep 38/100][TIMESTEP 298]: 298.0
INFO:Logger:[TRAIN][ep 39/100][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 40/100][TIMESTEP 166]: 166.0
INFO:Logger:[TRAIN][ep 41/100][TIMESTEP 239]: 239.0
INFO:Logger:[TRAIN][ep 42/100][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 43/100][TIMESTEP 195]: 195.0
INFO:Logger:[TRAIN][ep 44/100][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 45/100][TIMESTEP 181]: 181.0
INFO:Logger:[TRAIN][ep 46/100][TIMESTEP 152]: 152.0
INFO:Logger:[TRAIN][ep 47/100][TIMESTEP 276]: 276.0
INFO:Logger:[TRAIN][ep 48/100][TIMESTEP 321]: 321.0
INFO:Logger:[TRAIN][ep 49/100][TIMESTEP 262]: 262.0
INFO:Logger:[TRAIN][ep 50/100][TIMESTEP 190]: 190.0
INFO:Logger:[TRAIN][ep 51/100][TIMESTEP 293]: 293.0
INFO:Logger:[TRAIN][ep 52/100][TIMESTEP 240]: 240.0
INFO:Logger:[TRAIN][ep 53/100][TIMESTEP 265]: 265.0
INFO:Logger:[TRAIN][ep 54/100][TIMESTEP 216]: 216.0
INFO:Logger:[TRAIN][ep 55/100][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 56/100][TIMESTEP 330]: 330.0
INFO:Logger:[TRAIN][ep 57/100][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 58/100][TIMESTEP 290]: 290.0
INFO:Logger:[TRAIN][ep 59/100][TIMESTEP 379]: 379.0
INFO:Logger:[TRAIN][ep 60/100][TIMESTEP 383]: 383.0
INFO:Logger:[TRAIN][ep 61/100][TIMESTEP 212]: 212.0
INFO:Logger:[TRAIN][ep 62/100][TIMESTEP 254]: 254.0
INFO:Logger:[TRAIN][ep 63/100][TIMESTEP 394]: 394.0
INFO:Logger:[TRAIN][ep 64/100][TIMESTEP 370]: 370.0
INFO:Logger:[TRAIN][ep 65/100][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 66/100][TIMESTEP 169]: 169.0
INFO:Logger:[TRAIN][ep 67/100][TIMESTEP 336]: 336.0
INFO:Logger:[TRAIN][ep 68/100][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 69/100][TIMESTEP 223]: 223.0
INFO:Logger:[TRAIN][ep 70/100][TIMESTEP 182]: 182.0
INFO:Logger:[TRAIN][ep 71/100][TIMESTEP 169]: 169.0
INFO:Logger:[TRAIN][ep 72/100][TIMESTEP 251]: 251.0
INFO:Logger:[TRAIN][ep 73/100][TIMESTEP 202]: 202.0
INFO:Logger:[TRAIN][ep 74/100][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 75/100][TIMESTEP 250]: 250.0
INFO:Logger:[TRAIN][ep 76/100][TIMESTEP 198]: 198.0
INFO:Logger:[TRAIN][ep 77/100][TIMESTEP 136]: 136.0
INFO:Logger:[TRAIN][ep 78/100][TIMESTEP 321]: 321.0
INFO:Logger:[TRAIN][ep 79/100][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 80/100][TIMESTEP 161]: 161.0
INFO:Logger:[TRAIN][ep 81/100][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 82/100][TIMESTEP 208]: 208.0
INFO:Logger:[TRAIN][ep 83/100][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 84/100][TIMESTEP 264]: 264.0
INFO:Logger:[TRAIN][ep 85/100][TIMESTEP 137]: 137.0
INFO:Logger:[TRAIN][ep 86/100][TIMESTEP 415]: 415.0
INFO:Logger:[TRAIN][ep 87/100][TIMESTEP 149]: 149.0
INFO:Logger:[TRAIN][ep 88/100][TIMESTEP 246]: 246.0
INFO:Logger:[TRAIN][ep 89/100][TIMESTEP 312]: 312.0
INFO:Logger:[TRAIN][ep 90/100][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 91/100][TIMESTEP 484]: 484.0
INFO:Logger:[TRAIN][ep 92/100][TIMESTEP 278]: 278.0
INFO:Logger:[TRAIN][ep 93/100][TIMESTEP 132]: 132.0
INFO:Logger:[TRAIN][ep 94/100][TIMESTEP 241]: 241.0
INFO:Logger:[TRAIN][ep 95/100][TIMESTEP 193]: 193.0
INFO:Logger:[TRAIN][ep 96/100][TIMESTEP 190]: 190.0
INFO:Logger:[TRAIN][ep 97/100][TIMESTEP 184]: 184.0
INFO:Logger:[TRAIN][ep 98/100][TIMESTEP 129]: 129.0
INFO:Logger:[TRAIN][ep 99/100][TIMESTEP 190]: 190.0
INFO:Logger:[TRAIN][ep 100/100][TIMESTEP 118]: 118.0
INFO:Logger:[VALIDATION][ep 1/10][TIMESTEP 214]: 214.0
INFO:Logger:[VALIDATION][ep 2/10][TIMESTEP 225]: 225.0
INFO:Logger:[VALIDATION][ep 3/10][TIMESTEP 227]: 227.0
INFO:Logger:[VALIDATION][ep 4/10][TIMESTEP 234]: 234.0
INFO:Logger:[VALIDATION][ep 5/10][TIMESTEP 203]: 203.0
INFO:Logger:[VALIDATION][ep 6/10][TIMESTEP 216]: 216.0
