INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 80/200][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 81/200][TIMESTEP 224]: 224.0
INFO:Logger:[TRAIN][ep 82/200][TIMESTEP 220]: 220.0
INFO:Logger:[TRAIN][ep 83/200][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 84/200][TIMESTEP 199]: 199.0
INFO:Logger:[TRAIN][ep 85/200][TIMESTEP 216]: 216.0
INFO:Logger:[TRAIN][ep 86/200][TIMESTEP 179]: 179.0
INFO:Logger:[TRAIN][ep 87/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 88/200][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 89/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 90/200][TIMESTEP 156]: 156.0
INFO:Logger:[TRAIN][ep 91/200][TIMESTEP 197]: 197.0
INFO:Logger:[TRAIN][ep 92/200][TIMESTEP 177]: 177.0
INFO:Logger:[TRAIN][ep 93/200][TIMESTEP 164]: 164.0
INFO:Logger:[TRAIN][ep 94/200][TIMESTEP 196]: 196.0
INFO:Logger:[TRAIN][ep 95/200][TIMESTEP 154]: 154.0
INFO:Logger:[TRAIN][ep 96/200][TIMESTEP 197]: 197.0
INFO:Logger:[TRAIN][ep 97/200][TIMESTEP 169]: 169.0
INFO:Logger:[TRAIN][ep 98/200][TIMESTEP 179]: 179.0
INFO:Logger:[TRAIN][ep 99/200][TIMESTEP 180]: 180.0
INFO:Logger:[TRAIN][ep 100/200][TIMESTEP 175]: 175.0
INFO:Logger:[TRAIN][ep 101/200][TIMESTEP 201]: 201.0
INFO:Logger:[TRAIN][ep 102/200][TIMESTEP 180]: 180.0
INFO:Logger:[TRAIN][ep 103/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 104/200][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 105/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 106/200][TIMESTEP 184]: 184.0
INFO:Logger:[TRAIN][ep 107/200][TIMESTEP 193]: 193.0
INFO:Logger:[TRAIN][ep 108/200][TIMESTEP 222]: 222.0
INFO:Logger:[TRAIN][ep 109/200][TIMESTEP 216]: 216.0
INFO:Logger:[TRAIN][ep 110/200][TIMESTEP 174]: 174.0
INFO:Logger:[TRAIN][ep 111/200][TIMESTEP 284]: 284.0
INFO:Logger:[TRAIN][ep 112/200][TIMESTEP 225]: 225.0
INFO:Logger:[TRAIN][ep 113/200][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 114/200][TIMESTEP 208]: 208.0
INFO:Logger:[TRAIN][ep 115/200][TIMESTEP 223]: 223.0
INFO:Logger:[TRAIN][ep 116/200][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 117/200][TIMESTEP 194]: 194.0
INFO:Logger:[TRAIN][ep 118/200][TIMESTEP 219]: 219.0
INFO:Logger:[TRAIN][ep 119/200][TIMESTEP 209]: 209.0
INFO:Logger:[TRAIN][ep 120/200][TIMESTEP 164]: 164.0
INFO:Logger:[TRAIN][ep 121/200][TIMESTEP 431]: 431.0
INFO:Logger:[TRAIN][ep 122/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 123/200][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 124/200][TIMESTEP 156]: 156.0
INFO:Logger:[TRAIN][ep 125/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 126/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 127/200][TIMESTEP 422]: 422.0
INFO:Logger:[TRAIN][ep 128/200][TIMESTEP 174]: 174.0
INFO:Logger:[TRAIN][ep 129/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 130/200][TIMESTEP 164]: 164.0
INFO:Logger:[TRAIN][ep 131/200][TIMESTEP 255]: 255.0
INFO:Logger:[TRAIN][ep 132/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 133/200][TIMESTEP 176]: 176.0
INFO:Logger:[TRAIN][ep 134/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 135/200][TIMESTEP 153]: 153.0
INFO:Logger:[TRAIN][ep 136/200][TIMESTEP 192]: 192.0
INFO:Logger:[TRAIN][ep 137/200][TIMESTEP 228]: 228.0
INFO:Logger:[TRAIN][ep 138/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 139/200][TIMESTEP 184]: 184.0
INFO:Logger:[TRAIN][ep 140/200][TIMESTEP 143]: 143.0
INFO:Logger:[TRAIN][ep 141/200][TIMESTEP 291]: 291.0
INFO:Logger:[TRAIN][ep 142/200][TIMESTEP 210]: 210.0
INFO:Logger:[TRAIN][ep 143/200][TIMESTEP 157]: 157.0
INFO:Logger:[TRAIN][ep 144/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 145/200][TIMESTEP 152]: 152.0
INFO:Logger:[TRAIN][ep 146/200][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 147/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 148/200][TIMESTEP 161]: 161.0
INFO:Logger:[TRAIN][ep 149/200][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 150/200][TIMESTEP 207]: 207.0
INFO:Logger:[TRAIN][ep 151/200][TIMESTEP 145]: 145.0
INFO:Logger:[TRAIN][ep 152/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 153/200][TIMESTEP 145]: 145.0
INFO:Logger:[TRAIN][ep 154/200][TIMESTEP 438]: 438.0
INFO:Logger:[TRAIN][ep 155/200][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 156/200][TIMESTEP 138]: 138.0
INFO:Logger:[TRAIN][ep 157/200][TIMESTEP 260]: 260.0
INFO:Logger:[TRAIN][ep 158/200][TIMESTEP 201]: 201.0
INFO:Logger:[TRAIN][ep 159/200][TIMESTEP 194]: 194.0
INFO:Logger:[TRAIN][ep 160/200][TIMESTEP 201]: 201.0
INFO:Logger:[TRAIN][ep 161/200][TIMESTEP 336]: 336.0
INFO:Logger:[TRAIN][ep 162/200][TIMESTEP 142]: 142.0
INFO:Logger:[TRAIN][ep 163/200][TIMESTEP 188]: 188.0
INFO:Logger:[TRAIN][ep 164/200][TIMESTEP 223]: 223.0
INFO:Logger:[TRAIN][ep 165/200][TIMESTEP 182]: 182.0
INFO:Logger:[TRAIN][ep 166/200][TIMESTEP 141]: 141.0
INFO:Logger:[TRAIN][ep 167/200][TIMESTEP 165]: 165.0
INFO:Logger:[TRAIN][ep 168/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 169/200][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 170/200][TIMESTEP 190]: 190.0
INFO:Logger:[TRAIN][ep 171/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 172/200][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 173/200][TIMESTEP 177]: 177.0
INFO:Logger:[TRAIN][ep 174/200][TIMESTEP 164]: 164.0
INFO:Logger:[TRAIN][ep 175/200][TIMESTEP 199]: 199.0
INFO:Logger:[TRAIN][ep 176/200][TIMESTEP 174]: 174.0
INFO:Logger:[TRAIN][ep 177/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 178/200][TIMESTEP 210]: 210.0
INFO:Logger:[TRAIN][ep 179/200][TIMESTEP 162]: 162.0
INFO:Logger:[TRAIN][ep 180/200][TIMESTEP 212]: 212.0
INFO:Logger:[TRAIN][ep 181/200][TIMESTEP 452]: 452.0
INFO:Logger:[TRAIN][ep 182/200][TIMESTEP 187]: 187.0
INFO:Logger:[TRAIN][ep 183/200][TIMESTEP 164]: 164.0
INFO:Logger:[TRAIN][ep 184/200][TIMESTEP 225]: 225.0
INFO:Logger:[TRAIN][ep 185/200][TIMESTEP 314]: 314.0
INFO:Logger:[TRAIN][ep 186/200][TIMESTEP 174]: 174.0
INFO:Logger:[TRAIN][ep 187/200][TIMESTEP 252]: 252.0
INFO:Logger:[TRAIN][ep 188/200][TIMESTEP 151]: 151.0
INFO:Logger:[TRAIN][ep 189/200][TIMESTEP 209]: 209.0
INFO:Logger:[TRAIN][ep 190/200][TIMESTEP 206]: 206.0
INFO:Logger:[TRAIN][ep 191/200][TIMESTEP 158]: 158.0
INFO:Logger:[TRAIN][ep 192/200][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 193/200][TIMESTEP 203]: 203.0
INFO:Logger:[TRAIN][ep 194/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 195/200][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 196/200][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 197/200][TIMESTEP 195]: 195.0
INFO:Logger:[TRAIN][ep 198/200][TIMESTEP 260]: 260.0
INFO:Logger:[TRAIN][ep 199/200][TIMESTEP 175]: 175.0
INFO:Logger:[TRAIN][ep 200/200][TIMESTEP 177]: 177.0
INFO:Logger:[VALIDATION][ep 1/10][TIMESTEP 165]: 165.0
INFO:Logger:[VALIDATION][ep 2/10][TIMESTEP 168]: 168.0
INFO:Logger:[VALIDATION][ep 3/10][TIMESTEP 168]: 168.0
INFO:Logger:[VALIDATION][ep 4/10][TIMESTEP 161]: 161.0
INFO:Logger:[VALIDATION][ep 5/10][TIMESTEP 166]: 166.0
INFO:Logger:[VALIDATION][ep 6/10][TIMESTEP 161]: 161.0
INFO:Logger:[VALIDATION][ep 7/10][TIMESTEP 163]: 163.0
INFO:Logger:[VALIDATION][ep 8/10][TIMESTEP 158]: 158.0
INFO:Logger:[VALIDATION][ep 9/10][TIMESTEP 180]: 180.0
INFO:Logger:[VALIDATION][ep 10/10][TIMESTEP 158]: 158.0
INFO:Logger:Validation average rewards over 10 eps: 164.8
